user_id,order_time,category,quantity,amount,year,month,weekday,weekday_name
U0215,2024-11-26 18:23:00,美妆个护,4,411.44,2024,11,2,周二
U0131,2024-05-29 12:01:00,家居日用,6,63.72,2024,5,3,周三
U0277,2024-06-09 19:57:00,图书文具,9,818.19,2024,6,7,周日
U0059,2024-06-18 19:59:00,图书文具,3,353.49,2024,6,2,周二
U0244,2024-11-15 16:02:00,美妆个护,3,1243.74,2024,11,5,周五
U0167,2024-09-30 11:24:00,家居日用,2,628.96,2024,9,1,周一
U0053,2024-12-05 19:46:00,家居日用,7,3443.3,2024,12,4,周四
U0264,2024-02-04 21:16:00,家居日用,2,1066.78,2024,2,7,周日
U0002,2024-02-23 17:03:00,图书文具,2,467.32,2024,2,5,周五
U0162,2024-07-20 21:35:00,图书文具,8,1386.24,2024,7,6,周六
U0252,2024-07-08 15:20:00,美妆个护,2,666.04,2024,7,1,周一
U0280,2024-08-04 19:59:00,家居日用,9,2196.54,2024,8,7,周日
U0065,2024-12-10 14:08:00,食品饮料,8,48.64,2024,12,2,周二
U0139,2024-03-21 15:34:00,服装鞋帽,1,920.76,2024,3,4,周四
U0231,2024-02-10 19:06:00,食品饮料,8,741.12,2024,2,6,周六
U0033,2024-02-17 14:22:00,图书文具,8,1611.6,2024,2,6,周六
U0172,2024-12-25 13:26:00,服装鞋帽,1,592.9,2024,12,3,周三
U0131,2024-09-13 12:25:00,图书文具,7,118.51,2024,9,5,周五
U0207,2024-01-15 17:41:00,家居日用,3,104.49,2024,1,1,周一
U0231,2024-08-28 11:31:00,家居日用,5,1034.7,2024,8,3,周三
U0237,2024-05-22 18:28:00,家居日用,7,1672.3,2024,5,3,周三
U0086,2024-10-10 09:41:00,美妆个护,9,730.71,2024,10,4,周四
U0284,2024-01-28 19:43:00,家居日用,10,1064.5,2024,1,7,周日
U0231,2024-07-08 08:00:00,食品饮料,9,1480.59,2024,7,1,周一
U0233,2024-09-15 14:05:00,服装鞋帽,9,6684.3,2024,9,7,周日
U0225,2024-11-02 17:43:00,服装鞋帽,6,2109.48,2024,11,6,周六
U0233,2024-06-28 08:48:00,数码电子,4,5088.16,2024,6,5,周五
U0295,2024-04-22 12:48:00,食品饮料,1,195.44,2024,4,1,周一
U0220,2024-02-23 14:36:00,食品饮料,1,51.71,2024,2,5,周五
U0130,2024-02-22 19:25:00,图书文具,7,1422.96,2024,2,4,周四
U0203,2024-07-02 18:16:00,图书文具,8,1149.92,2024,7,2,周二
U0098,2024-07-16 13:10:00,食品饮料,9,607.95,2024,7,2,周二
U0259,2024-05-27 19:58:00,家居日用,3,1715.43,2024,5,1,周一
U0147,2024-05-27 14:51:00,食品饮料,1,82.53,2024,5,1,周一
U0039,2024-12-03 15:00:00,服装鞋帽,9,1771.29,2024,12,2,周二
U0151,2024-10-24 10:06:00,家居日用,10,7859.1,2024,10,4,周四
U0060,2024-01-02 08:47:00,图书文具,5,1353.1,2024,1,2,周二
U0009,2024-08-20 10:18:00,服装鞋帽,4,5336.08,2024,8,2,周二
U0120,2024-06-09 15:51:00,服装鞋帽,1,267.59,2024,6,7,周日
U0104,2024-12-05 21:34:00,图书文具,9,1806.57,2024,12,4,周四
U0194,2024-11-05 10:15:00,美妆个护,9,1098.36,2024,11,2,周二
U0068,2024-10-15 21:20:00,家居日用,8,4185.68,2024,10,2,周二
U0135,2024-07-13 08:32:00,家居日用,3,1538.1,2024,7,6,周六
U0022,2024-08-25 21:37:00,图书文具,3,804.45,2024,8,7,周日
U0283,2024-01-27 09:20:00,图书文具,1,175.19,2024,1,6,周六
U0147,2024-01-04 10:48:00,食品饮料,5,886.4,2024,1,4,周四
U0233,2024-02-06 15:28:00,食品饮料,5,583.0,2024,2,2,周二
U0188,2024-04-25 22:20:00,食品饮料,3,114.15,2024,4,4,周四
U0281,2024-08-10 13:57:00,服装鞋帽,8,1068.08,2024,8,6,周六
U0273,2024-04-13 08:08:00,服装鞋帽,6,3350.7,2024,4,6,周六
U0170,2024-09-03 17:34:00,数码电子,9,27692.91,2024,9,2,周二
U0036,2024-06-21 11:00:00,图书文具,3,314.13,2024,6,5,周五
U0092,2024-12-19 09:31:00,图书文具,3,427.05,2024,12,4,周四
U0063,2024-07-08 20:21:00,数码电子,10,2009.8,2024,7,1,周一
U0180,2024-06-18 13:14:00,图书文具,5,795.3,2024,6,2,周二
U0053,2024-02-29 19:43:00,美妆个护,7,486.5,2024,2,4,周四
U0047,2024-12-20 14:39:00,家居日用,2,835.76,2024,12,5,周五
U0158,2024-05-26 08:55:00,服装鞋帽,10,1453.3,2024,5,7,周日
