user_id,Recency,Frequency,Monetary,Recency_scaled,Frequency_scaled,Monetary_scaled
U0001,47,7,38537.93,0.14779874213836477,0.2857142857142857,0.3089752010238331
U0002,5,6,13306.529999999999,0.015723270440251572,0.23809523809523808,0.10588760373151747
U0003,152,6,22905.33,0.4779874213836478,0.23809523809523808,0.18314836725987815
U0004,39,6,28554.960000000003,0.12264150943396226,0.23809523809523808,0.22862225227183092
U0005,100,6,9152.0,0.31446540880503143,0.23809523809523808,0.07244778209740903
U0006,44,1,151.16,0.13836477987421383,0.0,0.0
U0007,52,6,8839.869999999999,0.16352201257861634,0.23809523809523808,0.06993544700134417
U0008,25,11,22925.199999999997,0.07861635220125786,0.47619047619047616,0.18330830093609896
U0009,62,9,20753.059999999998,0.1949685534591195,0.38095238095238093,0.16582474102335013
U0010,8,9,47826.25,0.025157232704402517,0.38095238095238093,0.38373691030996704
U0011,64,4,7608.79,0.20125786163522014,0.14285714285714285,0.060026481217653076
U0012,21,8,26131.2,0.0660377358490566,0.3333333333333333,0.2091134023937733
U0013,67,13,44060.72,0.21069182389937108,0.5714285714285714,0.3534281505807355
U0014,32,11,34818.22,0.10062893081761007,0.47619047619047616,0.2790352465811862
U0015,39,8,22638.72,0.12264150943396226,0.3333333333333333,0.1810024227497002
U0016,10,6,13431.66,0.031446540880503145,0.23809523809523808,0.10689477539259008
U0017,25,6,13105.39,0.07861635220125786,0.23809523809523808,0.10426862740363331
U0018,146,5,13612.69,0.4591194968553459,0.19047619047619047,0.10835188628369515
U0019,34,6,29284.170000000002,0.1069182389937107,0.23809523809523808,0.2344916652580913
U0020,51,5,11473.1,0.16037735849056603,0.19047619047619047,0.09113032139666288
U0021,58,5,75229.35,0.18238993710691823,0.19047619047619047,0.604304525954008
U0022,23,4,29636.010000000002,0.07232704402515723,0.14285714285714285,0.237323626236528
U0023,318,1,1413.48,1.0,0.0,0.010160416616360402
U0024,94,7,9006.759999999998,0.29559748427672955,0.2857142857142857,0.07127874499955729
U0025,50,13,20574.84,0.15723270440251572,0.5714285714285714,0.16439024782878162
U0026,16,7,24816.44,0.050314465408805034,0.2857142857142857,0.19853089609542895
U0027,78,2,2960.1,0.24528301886792453,0.047619047619047616,0.02260916459404857
U0028,46,6,19277.09,0.14465408805031446,0.23809523809523808,0.15394465506000532
U0029,86,9,14773.55,0.27044025157232704,0.38095238095238093,0.11769565112404318
U0030,7,5,6671.83,0.0220125786163522,0.19047619047619047,0.05248488799813263
U0031,161,5,30844.51,0.5062893081761006,0.19047619047619047,0.24705084554769435
U0032,30,4,21615.46,0.09433962264150944,0.14285714285714285,0.172766200629432
U0033,48,5,6713.84,0.1509433962264151,0.19047619047619047,0.052823026585854686
U0034,104,7,50014.25,0.3270440251572327,0.2857142857142857,0.4013481273996088
U0035,64,7,37018.49,0.20125786163522014,0.2857142857142857,0.29674522492936994
U0036,39,8,60545.2,0.12264150943396226,0.3333333333333333,0.48611176844630105
U0037,31,2,27796.53,0.09748427672955975,0.047619047619047616,0.2225176474376001
U0038,38,8,14690.689999999999,0.11949685534591195,0.3333333333333333,0.11702871079129741
U0039,28,11,17779.47,0.0880503144654088,0.47619047619047616,0.14189030819629908
U0040,10,4,3808.21,0.031446540880503145,0.14285714285714285,0.029435603956889544
U0041,48,7,45848.53,0.1509433962264151,0.2857142857142857,0.36781823742947056
U0042,10,9,18662.07,0.031446540880503145,0.38095238095238093,0.14899435764936936
U0043,13,7,5684.08,0.040880503144654086,0.2857142857142857,0.04453448595046644
U0044,97,5,8211.7,0.3050314465408805,0.19047619047619047,0.06487930521011921
U0045,21,9,27865.32,0.0660377358490566,0.38095238095238093,0.22307133830761677
U0046,57,5,34144.3,0.1792452830188679,0.19047619047619047,0.27361086293353937
U0047,11,12,105235.81,0.03459119496855346,0.5238095238095238,0.8458265922938851
U0048,37,7,11506.67,0.11635220125786164,0.2857142857142857,0.09140052640475213
U0049,17,7,55464.92,0.05345911949685535,0.2857142857142857,0.44522058290874844
U0050,28,9,16230.820000000002,0.0880503144654088,0.38095238095238093,0.12942522074388882
U0051,89,9,37594.47,0.279874213836478,0.38095238095238093,0.3013812892891926
U0052,22,9,14968.1,0.06918238993710692,0.38095238095238093,0.11926158452659794
U0053,1,7,11372.27,0.0031446540880503146,0.2857142857142857,0.09031874049211601
U0054,35,6,17000.489999999998,0.11006289308176101,0.23809523809523808,0.13562029636426565
U0055,7,6,51826.810000000005,0.0220125786163522,0.23809523809523808,0.4159374270559164
U0056,45,11,23587.26,0.14150943396226415,0.47619047619047616,0.18863722341615755
U0057,23,5,24182.059999999998,0.07232704402515723,0.19047619047619047,0.19342476999975852
U0058,69,6,19164.4,0.2169811320754717,0.23809523809523808,0.15303761298787016
U0059,8,9,12043.18,0.025157232704402517,0.38095238095238093,0.09571889664276113
U0060,35,6,18882.61,0.11006289308176101,0.23809523809523808,0.15076948462238107
U0061,21,9,10192.279999999999,0.0660377358490566,0.38095238095238093,0.08082099823726849
U0062,209,2,47446.020000000004,0.6572327044025157,0.047619047619047616,0.3806764381554906
U0063,122,9,12452.84,0.3836477987421384,0.38095238095238093,0.09901625093569652
U0064,39,4,26053.68,0.12264150943396226,0.14285714285714285,0.20848944373344924
U0065,21,7,58275.45,0.0660377358490566,0.2857142857142857,0.46784254541649556
U0066,65,4,3835.56,0.20440251572327045,0.14285714285714285,0.029655744170510066
U0067,23,10,124390.16,0.07232704402515723,0.42857142857142855,1.0
U0068,4,8,37284.07,0.012578616352201259,0.3333333333333333,0.298882878967152
U0069,67,5,22381.799999999996,0.21069182389937108,0.19047619047619047,0.17893447307206267
U0070,15,5,12587.599999999999,0.04716981132075472,0.19047619047619047,0.10010093448917005
U0071,4,6,70065.22,0.012578616352201259,0.23809523809523808,0.5627384315714067
U0072,48,6,4975.04,0.1509433962264151,0.23809523809523808,0.03882742134112477
U0073,36,7,32635.33,0.11320754716981132,0.2857142857142857,0.2614651598934312
U0074,1,8,35458.03,0.0031446540880503146,0.3333333333333333,0.28418507875948773
U0075,76,6,47193.03,0.2389937106918239,0.23809523809523808,0.37864012105699496
U0076,52,9,11965.97,0.16352201257861634,0.38095238095238093,0.09509743317315818
U0077,73,10,33629.68,0.22955974842767296,0.42857142857142855,0.26946868535645
U0078,52,3,11231.84,0.16352201257861634,0.09523809523809523,0.08918841909545312
U0079,129,8,21716.38,0.4056603773584906,0.3333333333333333,0.17357850594418822
U0080,52,5,6149.41,0.16352201257861634,0.19047619047619047,0.04827992820289925
U0081,41,5,11130.93,0.1289308176100629,0.19047619047619047,0.08837619427072015
U0082,42,9,11426.43,0.1320754716981132,0.38095238095238093,0.09075467445810093
U0083,33,7,10552.96,0.10377358490566038,0.2857142857142857,0.08372411239626848
U0084,1,8,13224.720000000001,0.0031446540880503146,0.3333333333333333,0.10522911485121421
U0085,232,3,20391.780000000002,0.7295597484276729,0.09523809523809523,0.16291679746295448
U0086,82,8,11713.529999999999,0.2578616352201258,0.3333333333333333,0.09306554302594193
U0087,149,5,24134.46,0.46855345911949686,0.19047619047619047,0.19304163748903322
U0088,42,7,44076.02,0.1320754716981132,0.2857142857142857,0.35355130031632576
U0089,37,10,72479.93,0.11635220125786164,0.42857142857142855,0.5821744379784125
U0090,9,6,9775.73,0.02830188679245283,0.23809523809523808,0.07746818631830585
U0091,88,3,22523.38,0.27672955974842767,0.09523809523809523,0.18007405082140068
U0092,12,6,28311.129999999997,0.03773584905660377,0.23809523809523808,0.22665966403464288
U0093,57,7,13008.689999999999,0.1792452830188679,0.2857142857142857,0.10349028887869348
U0094,45,7,13392.48,0.14150943396226415,0.2857142857142857,0.10657941548145107
U0095,61,14,49471.38,0.1918238993710692,0.6190476190476191,0.3969785655068054
U0096,137,4,1920.81,0.4308176100628931,0.14285714285714285,0.014243916966492002
U0097,145,5,15304.810000000001,0.4559748427672956,0.19047619047619047,0.12197176409983984
U0098,168,5,5956.08,0.5283018867924528,0.19047619047619047,0.046723814583182414
U0099,19,5,4768.7,0.059748427672955975,0.19047619047619047,0.037166590201144566
U0100,105,5,21724.71,0.330188679245283,0.19047619047619047,0.17364555413356514
U0101,140,3,50091.42,0.44025157232704404,0.09523809523809523,0.40196926890911866
U0102,4,2,4419.8,0.012578616352201259,0.047619047619047616,0.03435829328954677
U0103,37,9,82020.79000000001,0.11635220125786164,0.38095238095238093,0.6589688423119955
U0104,26,10,36963.03,0.08176100628930817,0.42857142857142855,0.29629882726036105
U0105,46,7,5480.82,0.14465408805031446,0.2857142857142857,0.042898445737650816
U0106,3,10,7137.22,0.009433962264150943,0.42857142857142855,0.05623081319070502
U0107,21,9,52833.38999999999,0.0660377358490566,0.38095238095238093,0.42403939181738415
U0108,34,6,11938.04,0.1069182389937107,0.23809523809523808,0.0948726245381885
U0109,50,4,16179.69,0.15723270440251572,0.14285714285714285,0.12901367525495216
U0110,36,6,38543.21,0.11320754716981132,0.23809523809523808,0.3090176997561152
U0111,9,8,60869.7,0.02830188679245283,0.3333333333333333,0.4887236697011405
U0112,1,5,3923.76,0.0031446540880503146,0.19047619047619047,0.030365666175677528
U0113,48,4,4045.6,0.1509433962264151,0.14285714285714285,0.031346356619097064
U0114,111,2,14731.16,0.3490566037735849,0.047619047619047616,0.11735445391543718
U0115,53,7,51543.44,0.16666666666666666,0.2857142857142857,0.413656581266752
U0116,23,5,11374.51,0.07232704402515723,0.19047619047619047,0.0903367702573266
U0117,12,8,13689.6,0.03773584905660377,0.3333333333333333,0.10897093505260023
U0118,42,9,62026.81,0.1320754716981132,0.38095238095238093,0.49803725078276545
U0119,175,4,27433.02,0.550314465408805,0.14285714285714285,0.21959175460201708
U0120,40,7,3317.27,0.12578616352201258,0.2857142857142857,0.025484026754883732
U0121,140,4,40868.450000000004,0.44025157232704404,0.14285714285714285,0.3277335619249994
U0122,139,7,31797.19,0.4371069182389937,0.2857142857142857,0.25471896908378205
U0123,67,6,11729.82,0.21069182389937108,0.23809523809523808,0.09319666127383511
U0124,61,4,43515.24,0.1918238993710692,0.14285714285714285,0.3490375807918608
U0125,7,8,101010.19,0.0220125786163522,0.3333333333333333,0.8118145670844099
U0126,21,6,18285.13,0.0660377358490566,0.23809523809523808,0.145960366712546
U0127,79,6,30130.8,0.24842767295597484,0.23809523809523808,0.24130619209748952
U0128,79,8,56004.09,0.24842767295597484,0.3333333333333333,0.449560363492945
U0129,31,7,28588.11,0.09748427672955975,0.2857142857142857,0.22888907669894318
U0130,73,8,17208.79,0.22955974842767296,0.3333333333333333,0.13729690354880514
U0131,109,5,14853.83,0.34276729559748426,0.19047619047619047,0.11834182503078744
U0132,2,9,12034.92,0.006289308176100629,0.38095238095238093,0.09565241188354703
U0133,41,5,61592.31999999999,0.1289308176100629,0.19047619047619047,0.4945400397620714
U0134,19,11,58346.65,0.059748427672955975,0.47619047619047616,0.4684156343821183
U0135,137,5,16244.900000000001,0.4308176100628931,0.19047619047619047,0.12953855069664116
U0136,165,4,38015.26,0.5188679245283019,0.14285714285714285,0.30476822897801814
U0137,20,11,31805.47,0.06289308176100629,0.47619047619047616,0.2547856148230427
U0138,47,12,22995.550000000003,0.14779874213836477,0.5238095238095238,0.18387454824974447
U0139,9,7,12111.41,0.02830188679245283,0.2857142857142857,0.09626808007147514
U0140,11,4,5517.75,0.03459119496855346,0.14285714285714285,0.04319569539355597
U0141,10,10,19273.54,0.031446540880503145,0.42857142857142855,0.15391608110174745
U0142,74,4,19085.22,0.23270440251572327,0.14285714285714285,0.15240029298368468
U0143,24,7,21617.33,0.07547169811320754,0.2857142857142857,0.1727812522637819
U0144,15,9,25227.64,0.04716981132075472,0.38095238095238093,0.20184064585194664
U0145,39,13,26050.65,0.12264150943396226,0.5714285714285714,0.208465055256401
U0146,10,9,66856.09,0.031446540880503145,0.38095238095238093,0.5369081367364514
U0147,111,6,8789.65,0.3490566037735849,0.23809523809523808,0.06953122610452435
U0148,85,5,14953.47,0.2672955974842767,0.19047619047619047,0.11914382762256617
U0149,62,10,91657.3,0.1949685534591195,0.42857142857142855,0.7365331337180756
U0150,3,10,21558.1,0.009433962264150943,0.42857142857142855,0.17230450985600335
U0151,68,6,14138.48,0.2138364779874214,0.23809523809523808,0.11258397121676768
U0152,10,6,36525.3,0.031446540880503145,0.23809523809523808,0.2927755374721303
U0153,19,4,38442.6,0.059748427672955975,0.14285714285714285,0.30820788963208007
U0154,8,9,18106.71,0.025157232704402517,0.38095238095238093,0.1445242637175122
U0155,89,6,28216.010000000002,0.279874213836478,0.23809523809523808,0.22589404293337842
