user_id,order_time,category,quantity,amount
U0103,2024-12-14 22:42:00,美妆个护,5,-50.0
U0215,2024-11-26 18:23:00,美妆个护,4,411.44
U0131,2024-05-29 12:01:00,家居日用,6,63.72
U0277,2024-06-09 19:57:00,图书文具,9,818.19
U0059,2024-06-18 19:59:00,图书文具,3,353.49
U0244,2024-11-15 16:02:00,美妆个护,3,1243.74
U0167,2024-09-30 11:24:00,家居日用,2,628.96
U0053,2024-12-05 19:46:00,家居日用,7,3443.3
U0264,2024-02-04 21:16:00,家居日用,2,1066.78
U0002,2024-02-23 17:03:00,图书文具,2,467.32
U0162,2024-07-20 21:35:00,图书文具,8,1386.24
U0252,2024-07-08 15:20:00,美妆个护,2,666.04
U0280,2024-08-04 19:59:00,家居日用,9,2196.54
U0065,2024-12-10 14:08:00,食品饮料,8,48.64
U0139,2024-03-21 15:34:00,服装鞋帽,1,920.76
U0231,2024-02-10 19:06:00,食品饮料,8,741.12
U0033,2024-02-17 14:22:00,图书文具,8,1611.6
U0172,2024-12-25 13:26:00,服装鞋帽,1,592.9
U0131,2024-09-13 12:25:00,图书文具,7,118.51
U0207,2024-01-15 17:41:00,家居日用,3,104.49
U0231,2024-08-28 11:31:00,家居日用,5,1034.7
U0237,2024-05-22 18:28:00,家居日用,7,1672.3
U0086,2024-10-10 09:41:00,美妆个护,9,730.71
U0284,2024-01-28 19:43:00,家居日用,10,1064.5
U0231,2024-07-08 08:00:00,食品饮料,9,1480.59
U0233,2024-09-15 14:05:00,服装鞋帽,9,6684.3
U0225,2024-11-02 17:43:00,服装鞋帽,6,2109.48
U0233,2024-06-28 08:48:00,数码电子,4,5088.16
U0295,2024-04-22 12:48:00,食品饮料,1,195.44
U0220,2024-02-23 14:36:00,食品饮料,1,51.71
U0130,2024-02-22 19:25:00,图书文具,7,1422.96
U0203,2024-07-02 18:16:00,图书文具,8,1149.92
U0098,2024-07-16 13:10:00,食品饮料,9,607.95
U0259,2024-05-27 19:58:00,家居日用,3,1715.43
U0147,2024-05-27 14:51:00,食品饮料,1,82.53
U0039,2024-12-03 15:00:00,服装鞋帽,9,1771.29
U0151,2024-10-24 10:06:00,家居日用,10,7859.1
U0060,2024-01-02 08:47:00,图书文具,5,1353.1
U0009,2024-08-20 10:18:00,服装鞋帽,4,5336.08
U0120,2024-06-09 15:51:00,服装鞋帽,1,267.59
U0104,2024-12-05 21:34:00,图书文具,9,1806.57
U0194,2024-11-05 10:15:00,美妆个护,9,1098.36
U0068,2024-10-15 21:20:00,家居日用,8,4185.68
U0135,2024-07-13 08:32:00,家居日用,3,1538.1
U0022,2024-08-25 21:37:00,图书文具,3,804.45
U0283,2024-01-27 09:20:00,图书文具,1,175.19
U0147,2024-01-04 10:48:00,食品饮料,5,886.4
U0233,2024-02-06 15:28:00,食品饮料,5,583.0
U0188,2024-04-25 22:20:00,食品饮料,3,114.15
U0281,2024-08-10 13:57:00,服装鞋帽,8,1068.08
U0114,2024-10-14 22:21:00,数码电子,0,43930.0
U0273,2024-04-13 08:08:00,服装鞋帽,6,3350.7
U0170,2024-09-03 17:34:00,数码电子,9,27692.91
U0036,2024-06-21 11:00:00,图书文具,3,314.13
U0092,2024-12-19 09:31:00,图书文具,3,427.05
U0063,2024-07-08 20:21:00,数码电子,10,2009.8
U0180,2024-06-18 13:14:00,图书文具,5,795.3
U0053,2024-02-29 19:43:00,美妆个护,7,486.5
U0047,2024-12-20 14:39:00,家居日用,2,835.76
U0158,2024-05-26 08:55:00,服装鞋帽,10,1453.3
U0229,2024-04-26 21:22:00,食品饮料,5,81.75
U0122,2024-01-01 22:33:00,图书文具,6,1294.86
U0237,2024-09-28 20:38:00,美妆个护,6,2660.52
U0076,2024-06-02 10:36:00,图书文具,9,952.65
U0220,2024-03-09 22:48:00,图书文具,4,226.88
U0218,2024-12-06 14:35:00,食品饮料,5,413.55
U0010,2024-09-02 12:35:00,数码电子,4,7617.32
U0250,2024-05-26 17:31:00,食品饮料,8,1067.6
U0004,2024-01-16 15:15:00,数码电子,1,4342.63
U0160,2024-12-05 15:11:00,数码电子,3,9702.84
U0179,2024-04-10 19:02:00,食品饮料,1,132.04
U0043,2024-02-13 20:12:00,家居日用,2,81.56
U0242,2024-02-04 14:16:00,数码电子,8,15661.68
U0090,2024-04-24 16:06:00,家居日用,10,5604.2
U0075,2024-08-04 12:56:00,家居日用,10,3445.4
U0192,2024-08-14 08:34:00,家居日用,2,415.02
U0096,2024-05-31 14:31:00,美妆个护,1,414.31
U0279,2024-08-04 10:40:00,图书文具,1,162.63
U0084,2024-08-04 13:12:00,服装鞋帽,3,1806.39
U0233,2024-03-16 16:06:00,家居日用,4,1852.08
U0144,2024-03-09 10:11:00,食品饮料,4,544.56
U0053,2024-05-30 16:38:00,美妆个护,5,1533.8
U0223,2024-05-01 12:34:00,美妆个护,2,1163.64
U0009,2024-03-14 17:43:00,食品饮料,6,128.4
U0141,2024-06-16 17:08:00,数码电子,10,7756.9
U0029,2024-06-13 13:18:00,美妆个护,1,530.61
U0145,2024-11-22 16:44:00,家居日用,4,1229.0
U0275,2024-12-29 13:38:00,服装鞋帽,10,13623.4
U0039,2024-05-05 10:44:00,美妆个护,2,583.64
U0058,2024-05-27 19:07:00,美妆个护,9,4064.76
U0190,2024-07-09 19:48:00,食品饮料,8,864.24
U0117,2024-05-13 17:43:00,美妆个护,5,225.85
U0213,2024-07-21 19:36:00,家居日用,3,1678.11
U0047,2024-08-20 08:13:00,食品饮料,5,704.5
U0259,2024-05-23 14:56:00,服装鞋帽,10,14271.0
U0156,2024-01-08 17:27:00,家居日用,10,3167.3
U0178,2024-01-28 19:36:00,食品饮料,4,789.24
U0145,2024-07-19 08:52:00,家居日用,3,1979.4
U0082,2024-09-12 12:46:00,食品饮料,2,42.28
U0286,2024-08-29 18:44:00,美妆个护,7,1809.71
U0065,2024-05-25 22:48:00,服装鞋帽,5,-20.0
U0217,2024-12-07 18:26:00,食品饮料,1,96.4
U0099,2024-11-06 13:27:00,食品饮料,5,999.7
U0259,2024-01-23 12:52:00,美妆个护,10,5128.0
U0145,2024-03-25 21:08:00,图书文具,1,286.45
U0205,2024-09-16 21:00:00,食品饮料,8,1004.32
U0095,2024-03-12 14:25:00,数码电子,2,4814.48
U0259,2024-11-01 19:00:00,图书文具,5,155.4
U0251,2024-11-08 08:47:00,美妆个护,5,1954.15
U0075,2024-04-12 13:59:00,数码电子,6,18360.18
U0286,2024-11-30 18:50:00,数码电子,4,11039.44
U0030,2024-09-03 17:50:00,食品饮料,5,801.55
U0138,2024-07-02 08:09:00,食品饮料,4,378.12
U0034,2024-09-18 12:01:00,美妆个护,3,994.83
U0151,2024-07-01 22:10:00,图书文具,8,464.96
U0184,2024-10-07 10:31:00,服装鞋帽,2,1829.7
U0051,2024-10-03 12:17:00,家居日用,10,1498.4
U0001,2024-05-12 16:11:00,数码电子,2,1374.6
U0218,2024-10-27 18:08:00,数码电子,9,21885.03
U0214,2024-08-26 15:29:00,服装鞋帽,1,437.01
U0257,2024-01-08 08:34:00,美妆个护,4,565.68
U0127,2024-02-25 13:13:00,数码电子,7,18758.39
U0154,2024-01-14 18:55:00,服装鞋帽,7,7280.91
U0238,2024-12-28 22:59:00,美妆个护,2,559.0
U0227,2024-01-15 16:54:00,美妆个护,10,3471.0
U0273,2024-08-18 13:25:00,图书文具,9,2409.39
U0212,2024-01-25 11:09:00,服装鞋帽,9,6864.39
U0111,2024-08-15 22:21:00,数码电子,8,23626.8
U0236,2024-03-23 17:40:00,美妆个护,6,3250.8
U0226,2024-11-10 20:05:00,美妆个护,9,1418.31
U0150,2024-10-03 13:05:00,家居日用,8,5747.52
U0247,2024-08-30 22:39:00,美妆个护,4,2393.64
U0006,2024-11-17 11:27:00,服装鞋帽,4,151.16
U0118,2024-04-03 15:37:00,服装鞋帽,9,9775.17
U0203,2024-01-26 10:44:00,家居日用,5,788.8
U0118,2024-11-19 10:19:00,食品饮料,4,209.08
U0047,2024-01-01 17:13:00,图书文具,5,771.5
U0259,2024-06-09 13:49:00,数码电子,5,1818.55
U0172,2024-01-13 15:01:00,家居日用,1,119.67
U0273,2024-09-21 18:14:00,图书文具,7,1675.24
U0095,2024-10-31 12:59:00,家居日用,2,216.38
U0137,2024-03-16 10:34:00,食品饮料,8,1165.68
U0060,2024-11-15 20:07:00,服装鞋帽,9,10199.16
U0286,2024-10-17 12:36:00,美妆个护,3,1217.43
U0062,2024-05-11 16:44:00,数码电子,9,30876.84
U0295,2024-04-13 21:31:00,服装鞋帽,6,4940.88
U0063,2024-05-22 08:24:00,食品饮料,1,81.34
U0104,2024-04-13 10:38:00,服装鞋帽,6,8469.3
U0179,2024-02-11 11:14:00,美妆个护,1,329.41
U0231,2024-06-05 13:56:00,食品饮料,5,784.1
U0289,2024-09-10 11:21:00,,10,24952.1
U0118,2024-10-20 20:30:00,家居日用,8,3897.04
U0015,2024-06-05 15:04:00,美妆个护,4,1755.64
U0130,2024-04-04 10:50:00,家居日用,4,2303.12
U0283,2024-03-09 11:10:00,图书文具,10,1060.4
U0134,2024-07-18 14:46:00,数码电子,10,29518.4
U0210,2024-04-20 15:59:00,服装鞋帽,4,5522.24
U0133,2024-10-19 15:41:00,食品饮料,10,184.4
U0051,2024-01-29 21:39:00,食品饮料,6,1095.48
U0257,2024-10-28 12:20:00,数码电子,4,2668.32
U0001,2024-11-14 13:54:00,服装鞋帽,8,7388.8
U0137,2024-07-20 11:56:00,美妆个护,10,2134.3
U0063,2024-08-31 16:25:00,服装鞋帽,6,3234.78
U0210,2024-12-12 08:42:00,服装鞋帽,3,1184.67
U0025,2024-06-28 13:52:00,食品饮料,1,157.2
U0150,2024-06-02 19:49:00,美妆个护,1,123.26
U0084,2024-12-26 08:19:00,图书文具,6,181.08
U0189,2024-12-25 08:06:00,食品饮料,7,617.54
U0211,2024-11-13 21:28:00,食品饮料,8,956.4
U0257,2024-03-18 10:46:00,数码电子,2,5391.12
U0113,2024-04-23 21:37:00,服装鞋帽,4,1189.72
U0055,2024-12-24 10:31:00,数码电子,10,44922.8
U0162,2024-03-27 14:27:00,数码电子,7,23181.69
U0247,2024-11-18 15:22:00,服装鞋帽,8,1464.32
U0239,2024-08-16 10:50:00,食品饮料,8,195.12
U0096,2024-03-28 21:31:00,图书文具,4,1134.4
U0182,2024-08-10 14:47:00,数码电子,7,22291.78
U0161,2024-05-30 12:18:00,美妆个护,3,1074.48
U0188,2024-03-22 09:00:00,美妆个护,4,859.2
U0195,2024-04-28 19:19:00,美妆个护,5,1287.3
U0222,2024-08-13 12:43:00,服装鞋帽,4,5850.32
U0280,2024-03-21 17:29:00,服装鞋帽,7,8440.53
U0209,2024-04-24 08:13:00,食品饮料,8,1130.16
U0281,2024-12-24 16:53:00,图书文具,4,176.08
U0029,2024-04-18 09:22:00,美妆个护,6,3301.74
U0042,2024-12-21 16:37:00,数码电子,1,2055.98
U0076,2024-03-27 12:41:00,图书文具,5,413.95
U0287,2024-05-13 18:39:00,数码电子,9,22469.94
U0173,2024-07-08 17:45:00,数码电子,6,22219.62
U0181,2024-10-18 10:25:00,美妆个护,5,2527.55
U0011,2024-06-12 08:58:00,服装鞋帽,6,4378.74
U0111,2024-05-31 13:21:00,美妆个护,8,1157.36
